latitude,longitude,year,sighting
38.826,-105.1146,1977,Bigfoot
37.83905,-107.7247,1989,Bigfoot
40.00385,-107.4381,2005,Bigfoot
39.40305,-105.8226,1998,Bigfoot
38.93333,-105.4917,2000,Bigfoot
39.2026,-106.1143,2000,Bigfoot
38.9,-105.3812,2001,Bigfoot
39.20834,-106.0417,2001,Bigfoot
39.3045,-106.171,2002,Bigfoot
39.39565,-105.7854,2002,Bigfoot
39.40589,-105.475,2012,Bigfoot
39.30023,-105.6723,2014,Bigfoot
38.77741,-105.9111,2014,Bigfoot
39.4191,-105.7065,2018,Bigfoot
39.1084,-107.0153,2000,Bigfoot
39.3375,-107.0671,2001,Bigfoot
39.45824,-106.625,2003,Bigfoot
40.55415,-106.7084,1978,Bigfoot
40.4805,-106.7682,2004,Bigfoot
39.879,-106.6735,2005,Bigfoot
37.75417,-107.7667,1998,Bigfoot
37.70338,-107.7015,2008,Bigfoot
39.7198,-106.1666,1971,Bigfoot
39.32385,-106.2275,1998,Bigfoot
39.80777,-106.3023,2012,Bigfoot
39.41087,-106.1444,2019,Bigfoot
39.0465,-105.2146,1979,Bigfoot
38.753,-105.1598,1981,Bigfoot
38.71225,-105.1744,1986,Bigfoot
38.91,-105.275,1997,Bigfoot
38.8922,-105.1058,1999,Bigfoot
38.71145,-105.0354,2001,Bigfoot
39.11636,-105.2155,2005,Bigfoot
38.68775,-105.047,2013,Bigfoot
38.48959,-107.7,1996,Bigfoot
38.49833,-107.8833,1977,Bigfoot
37.4625,-108.2083,2001,Bigfoot
40.45418,-108.5417,1991,Bigfoot
38.9969,-108.1098,1987,Bigfoot
37.09263,-104.3786,2005,Bigfoot
40.79166,-105.9583,1971,Bigfoot
39.26944,-106.3833,1975,Bigfoot
37.33815,-107.501,2008,Bigfoot
39.31667,-105.3542,2005,Bigfoot
37.5969,-105.4826,1994,Bigfoot
38.90833,-107.575,1964,Bigfoot
38.4,-105.1167,1987,Bigfoot
39.6632,-106.8085,2000,Bigfoot
39.4627,-106.6035,2000,Bigfoot
39.37357,-107.0596,2013,Bigfoot
38.716,-104.875,1986,Bigfoot
38.8993,-104.9743,1997,Bigfoot
38.6691,-104.8604,1999,Bigfoot
38.9006,-104.9917,2001,Bigfoot
39.0621,-105.0138,2002,Bigfoot
38.5859,-104.9426,2006,Bigfoot
38.54166,-104.9908,1998,Bigfoot
38.59998,-106.6417,2003,Bigfoot
39.01577,-106.7522,2004,Bigfoot
37.89225,-107.1971,2006,Bigfoot
38.02372,-107.193,2021,Bigfoot
40.4521,-106.6535,1996,Bigfoot
40.54167,-105.9333,1996,Bigfoot
39.35503,-105.2527,2014,Bigfoot
39.52701,-105.4147,2014,Bigfoot
39.18975,-106.4269,1994,Bigfoot
39.24998,-106.2583,1995,Bigfoot
39.225,-106.3625,2001,Bigfoot
39.15735,-106.4213,2001,Bigfoot
39.0917,-106.4417,2002,Bigfoot
39.29325,-106.1215,2005,Bigfoot
39.1006,-106.5445,2009,Bigfoot
40.57499,-105.3646,1990,Bigfoot
40.84707,-105.6385,2009,Bigfoot
40.33838,-105.5728,2014,Bigfoot
40.3105,-105.812,2016,Bigfoot
40.26821,-105.1821,2019,Bigfoot
39.16305,-107.9514,1999,Bigfoot
40.277,-107.8708,2006,Bigfoot
37.4125,-108.1292,2003,Bigfoot
37.33925,-108.3364,2004,Bigfoot
39.42923,-104.9677,1997,Bigfoot
37.70835,-107.9584,2003,Bigfoot
38.875,-107.7084,1994,Bigfoot
38.0654,-105.1137,1998,Bigfoot
37.30833,-106.4917,1994,Bigfoot
39.67095,-105.8199,2000,Bigfoot
39.25,-106.3,1971,Bigfoot
40.17585,-105.3792,1964,Bigfoot
37.19583,-107.1771,2000,Bigfoot
37.57915,-105.4979,2000,Bigfoot
37.025,-106.8583,2003,Bigfoot
37.38334,-107.4667,2004,Bigfoot
40.025,-105.4458,1971,Bigfoot
40.00817,-105.298,1995,Bigfoot
38.83714,-106.199,2010,Bigfoot
38.71954,-106.2384,2020,Bigfoot
38.60124,-106.3466,1997,Bigfoot
37.32255,-106.5123,1997,Bigfoot
37.1137,-106.3681,2000,Bigfoot
37.2362,-106.541,2001,Bigfoot
37.3199,-106.3325,2005,Bigfoot
37.26505,-106.4745,2008,Bigfoot
37.37285,-106.496,2009,Bigfoot
37.56055,-105.2869,2011,Bigfoot
39.21338,-105.0652,1998,Bigfoot
39.4455,-105.0787,2005,Bigfoot
40.30583,-105.02325,2004,Meteorite
38.47028,-105.24139,1973,Meteorite
39.7825,-104.93056,1967,Meteorite
39.24667,-104.58817,1998,Meteorite
40.35,-104.9,1924,Meteorite
39.96667,-103.76667,1928,Meteorite
40.15,-103.16667,1940,Meteorite
40.15,-103.16667,1961,Meteorite
37.46667,-105.86667,1937,Meteorite
39.75,-105.2,1938,Meteorite
38.8,-102.2,1940,Meteorite
39.76667,-102.13333,1967,Meteorite
39.3,-103.25,1936,Meteorite
40.51667,-103.26667,1963,Meteorite
40.51667,-103.26667,1964,Meteorite
39.6,-105.3,1866,Meteorite
39.3,-102.41667,1941,Meteorite
38,-108.5,1912,Meteorite
40.66667,-104.31667,1949,Meteorite
39.86667,-106.88333,2003,Meteorite
39.1,-103.25833,1962,Meteorite
38.83333,-104.83333,1950,Meteorite
39.66667,-102.83333,1934,Meteorite
39.68333,-102.845,1967,Meteorite
37.35,-108.68333,1940,Meteorite
38.46483,-105.7015,2000,Meteorite
39.85,-102.95,1940,Meteorite
38.41667,-106.58333,1887,Meteorite
38.47,-102.82667,1975,Meteorite
37,-105,1954,Meteorite
39.83333,-103.21667,1966,Meteorite
38.80778,-104.56944,1960,Meteorite
40.03167,-105.05667,1965,Meteorite
39.23,-102.99,1972,Meteorite
40.68333,-102.81667,1940,Meteorite
37,-109.05,1924,Meteorite
38.81667,-104.61667,1890,Meteorite
38.5,-105.5,1963,Meteorite
39.7,-105.7,1967,Meteorite
37.96667,-102.33333,1975,Meteorite
38.76667,-105.51667,1907,Meteorite
38.83333,-105.8,2000,Meteorite
40.45667,-102.57834,1975,Meteorite
38.06667,-102.1,1937,Meteorite
40.56667,-102.3,1933,Meteorite
37.58333,-102.76667,1937,Meteorite
39.13333,-103.48333,1936,Meteorite
39.695,-102.295,1968,Meteorite
39.975,-102.26667,1983,Meteorite
38.71667,-103.51667,1936,Meteorite
40.46667,-103.03333,1937,Meteorite
38.3925,-104.17667,1966,Meteorite
39.36667,-103.16667,1937,Meteorite
37.68333,-105.7,1937,Meteorite
37.65,-105.73333,1931,Meteorite
37.16667,-108.5,1922,Meteorite
37.63333,-105.83333,1942,Meteorite
38.41667,-106.21667,1898,Meteorite
40.62583,-103.84033,1995,Meteorite
37.6,-105.83333,1939,Meteorite
40.96667,-102.4,1939,Meteorite
40.75833,-102.375,1943,Meteorite
40.95,-103.08333,1937,Meteorite
40.45,-102.38333,1935,Meteorite
38.51667,-107.83333,1948,Meteorite
38.61667,-102.71667,1938,Meteorite
39.8,-105.5,1863,Meteorite
40.81667,-102.25,1947,Meteorite
39.3,-102.83333,1941,Meteorite
39.27667,-102.88667,1991,Meteorite
39.53333,-103.33333,1937,Meteorite
37.38333,-102.63333,1937,Meteorite
37.48333,-102.67667,1937,Meteorite
40.6,-103.18333,1900,Meteorite
40.63783,-103.69717,1960,Meteorite
37.28333,-102.2,1942,Meteorite
39.22167,-102.59,1964,Meteorite
39.52167,-103.16667,1965,Meteorite
37.2,-103.58333,1963,Meteorite
38.58139,-104.07667,1978,Meteorite
37.63333,-102.41667,1962,Meteorite
37.63333,-102.41667,1970,Meteorite
39.7,-103.16667,1927,Meteorite
40.35,-103.95,1934,Meteorite
39.41667,-103.2,1979,Meteorite
38.15,-102.66667,1938,Meteorite
40.05,-102.2,1936,Meteorite
40.33083,-102.19583,1938,Meteorite
